lm0_x,lm0_y,lm0_z,lm1_x,lm1_y,lm1_z,lm2_x,lm2_y,lm2_z,lm3_x,lm3_y,lm3_z,lm4_x,lm4_y,lm4_z,lm5_x,lm5_y,lm5_z,lm6_x,lm6_y,lm6_z,lm7_x,lm7_y,lm7_z,lm8_x,lm8_y,lm8_z,lm9_x,lm9_y,lm9_z,lm10_x,lm10_y,lm10_z,lm11_x,lm11_y,lm11_z,lm12_x,lm12_y,lm12_z,lm13_x,lm13_y,lm13_z,lm14_x,lm14_y,lm14_z,lm15_x,lm15_y,lm15_z,lm16_x,lm16_y,lm16_z,lm17_x,lm17_y,lm17_z,lm18_x,lm18_y,lm18_z,lm19_x,lm19_y,lm19_z,lm20_x,lm20_y,lm20_z,label
0,0,0,-0.054447383,-0.079298496,-0.020834059,-0.089925706,-0.164507449,-0.032779119,-0.062037826,-0.220545709,-0.045151069,-0.012611568,-0.216679633,-0.054968915,-0.038196355,-0.275614589,-0.025750792,-0.04228887,-0.395988107,-0.061438958,-0.045647889,-0.461311758,-0.087483085,-0.045454562,-0.520410746,-0.106515108,0.009311974,-0.251248062,-0.033738463,0.024552166,-0.314308882,-0.083798184,0.003308296,-0.228222728,-0.096570476,-0.011176884,-0.174789548,-0.094607181,0.051688552,-0.217599869,-0.045255891,0.064322293,-0.26325053,-0.084832794,0.035004854,-0.187884748,-0.074371233,0.01534456,-0.147087812,-0.056549541,0.081688702,-0.169745386,-0.059976186,0.094622731,-0.206744492,-0.078290007,0.065666676,-0.165985763,-0.06449402,0.046925545,-0.1399014,-0.048581472,move
0,0,0,-0.054693431,-0.078360856,-0.021031587,-0.090519786,-0.163133919,-0.032688017,-0.062350214,-0.219084322,-0.044599323,-0.013059586,-0.214991868,-0.053719709,-0.038230419,-0.277093738,-0.025305462,-0.042371362,-0.397654533,-0.060344155,-0.04568249,-0.462657601,-0.086006569,-0.045466721,-0.521086484,-0.104645232,0.008550227,-0.252244115,-0.032665844,0.025150299,-0.312838137,-0.082704673,0.003726244,-0.226182997,-0.095825943,-0.011613965,-0.170839548,-0.093912872,0.050691903,-0.218892634,-0.043489362,0.06464839,-0.263886571,-0.082769359,0.034946978,-0.187594533,-0.072687315,0.013919115,-0.145526648,-0.05509458,0.080324411,-0.171326756,-0.057525544,0.094668031,-0.2073192,-0.075855459,0.065748155,-0.16549319,-0.062411411,0.046175063,-0.138782144,-0.046607165,move
0,0,0,-0.056038141,-0.08332473,-0.020940777,-0.090883553,-0.166522086,-0.032751035,-0.062640458,-0.22418946,-0.044549432,-0.012591749,-0.219008744,-0.05342136,-0.037799448,-0.276475519,-0.02567485,-0.042609215,-0.397807717,-0.062160112,-0.046961546,-0.463760614,-0.089686428,-0.047151238,-0.522971183,-0.109607589,0.008140266,-0.251847804,-0.032852274,0.021790743,-0.316908717,-0.082168591,0.001468062,-0.230066597,-0.095478278,-0.012563825,-0.173372269,-0.094110791,0.04979986,-0.218986988,-0.043520913,0.061257601,-0.266708791,-0.081040208,0.033039927,-0.190584183,-0.070212853,0.013176739,-0.146570683,-0.05242797,0.078352094,-0.170627832,-0.0576308,0.091280818,-0.210567594,-0.073828456,0.062865615,-0.170415938,-0.059145745,0.044115067,-0.142176688,-0.042730552,move
0,0,0,-0.055759907,-0.079831481,-0.021868347,-0.091043174,-0.161190867,-0.035020821,-0.064116001,-0.219612777,-0.048112631,-0.014188915,-0.218221664,-0.058238179,-0.039647162,-0.274264216,-0.027199098,-0.043857753,-0.39506647,-0.06371661,-0.047592878,-0.460511386,-0.090928566,-0.047252595,-0.519580215,-0.110673119,0.006476462,-0.250512064,-0.03414337,0.021713316,-0.312435836,-0.084477265,0.000723481,-0.225065708,-0.097740386,-0.014359683,-0.168028057,-0.096192782,0.048973083,-0.217790902,-0.044544519,0.06174767,-0.263878584,-0.082917292,0.032990396,-0.186368942,-0.071355079,0.01252228,-0.14261806,-0.053124048,0.07841754,-0.169287562,-0.058426306,0.092015088,-0.206628025,-0.075654131,0.063174367,-0.164251387,-0.060944606,0.044216037,-0.136091471,-0.044458967,move
0,0,0,-0.055052578,-0.08136481,-0.021829048,-0.090710551,-0.162926972,-0.034193108,-0.06360504,-0.221304357,-0.046421798,-0.014052868,-0.220881462,-0.055294266,-0.038731575,-0.27445811,-0.025858948,-0.043606192,-0.395244956,-0.063194064,-0.048082799,-0.461717039,-0.091475299,-0.048146188,-0.521380872,-0.111836178,0.007540405,-0.25048548,-0.032898413,0.021771431,-0.314760357,-0.083572304,0.000988364,-0.228257954,-0.097816138,-0.013158053,-0.172182322,-0.096873177,0.049747467,-0.218186796,-0.043477474,0.062838435,-0.266073227,-0.081953963,0.033716559,-0.189599514,-0.071035152,0.013087034,-0.146217465,-0.053141704,0.078638017,-0.17053467,-0.057634765,0.092924535,-0.206683636,-0.074309988,0.063789189,-0.166041911,-0.059646579,0.044350505,-0.139387369,-0.043182464,move
0,0,0,-0.055382222,-0.081968486,-0.021334489,-0.090632588,-0.163629711,-0.033872227,-0.064449698,-0.222632349,-0.04649943,-0.01513499,-0.222971916,-0.056008849,-0.039134204,-0.27517873,-0.025448785,-0.04386273,-0.39694196,-0.06250758,-0.047943473,-0.463005126,-0.090364362,-0.047936738,-0.522273511,-0.110432948,0.006972879,-0.250661254,-0.032710205,0.020020574,-0.315844715,-0.082912634,-0.001065075,-0.228440583,-0.096284683,-0.015413493,-0.171733618,-0.095006469,0.048996419,-0.217504263,-0.043584078,0.061776668,-0.267810345,-0.082337792,0.032424003,-0.190667212,-0.070694211,0.011552662,-0.145836771,-0.052337024,0.078112513,-0.168535829,-0.057897992,0.093097776,-0.209833622,-0.075500752,0.063448817,-0.168293476,-0.06053071,0.042587906,-0.13911289,-0.043748777,move
0,0,0,-0.05554688,-0.083582282,-0.020634089,-0.089939147,-0.163223088,-0.033409842,-0.065485239,-0.222273529,-0.046695665,-0.015296012,-0.224384487,-0.056904566,-0.038773626,-0.275949478,-0.023380988,-0.043824524,-0.39767468,-0.061035529,-0.048206955,-0.464296997,-0.089523949,-0.048259169,-0.523282915,-0.109867894,0.006636769,-0.25127691,-0.030890247,0.021111518,-0.317419142,-0.08160875,0.000719905,-0.230381906,-0.095563278,-0.013822585,-0.173510134,-0.09448725,0.049247056,-0.217938542,-0.042067502,0.062479228,-0.26872313,-0.080935129,0.033371717,-0.191421866,-0.069170282,0.012504429,-0.147375822,-0.050638136,0.078653663,-0.168819845,-0.056638096,0.09307918,-0.210362613,-0.073627242,0.06337294,-0.167886436,-0.058046524,0.043517321,-0.139693558,-0.040906534,move
0,0,0,-0.055426925,-0.080140114,-0.021795525,-0.090408653,-0.161144137,-0.033803639,-0.063582689,-0.217930734,-0.045679819,-0.014255315,-0.220868647,-0.054247674,-0.040434092,-0.274238765,-0.025756449,-0.044932693,-0.395477831,-0.062413108,-0.048933238,-0.461030543,-0.089837526,-0.048693001,-0.520153075,-0.109564063,0.006555468,-0.250072896,-0.03278083,0.022626489,-0.313200146,-0.083123122,0.001085609,-0.22698015,-0.096912895,-0.014301568,-0.171254039,-0.095813294,0.048759431,-0.217849553,-0.043443312,0.062799662,-0.264910638,-0.082484041,0.033165544,-0.187919199,-0.071721171,0.01220724,-0.14478904,-0.05398402,0.078547329,-0.170517325,-0.057585925,0.09363851,-0.207602084,-0.075508837,0.064396352,-0.165736616,-0.061347768,0.044027299,-0.138070047,-0.045192358,move
0,0,0,-0.055760533,-0.083602309,-0.022164384,-0.090671897,-0.164291263,-0.033925364,-0.06360209,-0.221217632,-0.045344481,-0.01395911,-0.221037269,-0.05338904,-0.038890064,-0.276230782,-0.024647431,-0.044053763,-0.396628141,-0.062240543,-0.048948109,-0.462326527,-0.090807078,-0.049404144,-0.521437645,-0.111181816,0.006949097,-0.250822365,-0.031321497,0.021027833,-0.316839129,-0.0816145,0.000535697,-0.22966969,-0.095629884,-0.01345402,-0.17371279,-0.094579806,0.049026042,-0.21741879,-0.041851559,0.062107295,-0.266761243,-0.080864472,0.033305973,-0.188855112,-0.070111541,0.013066679,-0.146147907,-0.052075283,0.078143984,-0.168271959,-0.055893561,0.093438476,-0.209062994,-0.073093412,0.064217538,-0.166208506,-0.058124991,0.044347316,-0.138055205,-0.041370796,move
0,0,0,-0.056211472,-0.082166493,-0.021424674,-0.091442406,-0.163062513,-0.032913387,-0.064289749,-0.220086813,-0.044146438,-0.014992923,-0.221205294,-0.052095932,-0.040736139,-0.275231242,-0.024682981,-0.045465559,-0.395730972,-0.061838594,-0.049908757,-0.461514145,-0.090072312,-0.049924374,-0.520884514,-0.110310309,0.005846918,-0.250347078,-0.031790816,0.020401776,-0.316374153,-0.081602485,-0.000396878,-0.229899943,-0.095383511,-0.014912218,-0.174229622,-0.094405316,0.048266888,-0.217635334,-0.042606239,0.061264157,-0.266726792,-0.081158482,0.032491207,-0.188608587,-0.069916644,0.012415946,-0.145613015,-0.051864714,0.078243077,-0.169324398,-0.056888257,0.092902541,-0.209440649,-0.07385619,0.063928366,-0.166027009,-0.058559966,0.044274807,-0.13770169,-0.041752816,move
